"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A full-rate and low-detection complexity cooperative transmission scheme based on distributed space-time-frequency code design","Hongyu Fang; Ruzi Li; Li Wang; Xiaohui Li","Key Lab of Intelligent Computing and Signal Processing of Ministry of Education, Anhui University, Hefei 230039, China; Key Lab of Intelligent Computing and Signal Processing of Ministry of Education, Anhui University, Hefei 230039, China; Key Lab of Intelligent Computing and Signal Processing of Ministry of Education, Anhui University, Hefei 230039, China; Key Lab of Intelligent Computing and Signal Processing of Ministry of Education, Anhui University, Hefei 230039, China","2013 IEEE 4th International Conference on Software Engineering and Service Science","","2013","","","977","980","The cooperative transmission schemes based on the amplify and forward (AF) mode have the defect of low transmission rate and the exiting full-rate cooperative transmission schemes based on space-time code design have the defect of high detection complexity. Therefore, this paper makes the best of linear constellation precoding (LCP) technique and cyclic delay diversity (CDD) technique, and adopts the non-orthogonal amplify and forward (NAF) mode, finally proposes a new full-rate wireless cooperative transmission scheme based on space-time-frequency code design. Compared with the cooperative transmission schemes that only pursue the transmission rate or the BER performance, this new scheme can apply to multi-relay scenario, and has the advantages of simple structure, low signal detection complexity that does not increases with the number of relay nodes. All of above makes the real-time data transmission service of high quality come to be possible.","2327-0594;2327-0586","978-1-4673-5000-6978-1-4673-4997-0978-1-4673-4998","10.1109/ICSESS.2013.6615469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6615469","cooperative;space-time-frequency;full-rate;low-detection complexity","Frequency division multiplexing;Time-frequency analysis;Complexity theory","communication complexity;cooperative communication;data communication;diversity reception;error statistics;linear codes;precoding;signal detection;space-time codes","low-detection complexity cooperative transmission scheme;full-rate complexity cooperative transmission scheme;distributed space-time-frequency code design;transmission rate;space-time code design;detection complexity;linear constellation precoding;cyclic delay diversity technique;linear constellation precoding technique;nonorthogonal amplify and forward mode;full-rate wireless cooperative transmission scheme;BER performance;multirelay scenario;signal detection complexity;relay nodes;real-time data transmission service","","","","13","","","","","IEEE","IEEE Conferences"
"Reducing Search Complexity of Coded Caching by Shrinking Search Space","H. Cao; Q. Yan; X. Tang","Information Security and National Computing Grid Laboratory, Southwest Jiaotong University, Chengdu, China; Laboratoire Traitement et Communication de l’Information, Télécom ParisTech, Paris, France; Information Security and National Computing Grid Laboratory, Southwest Jiaotong University, Chengdu, China","IEEE Communications Letters","","2019","23","4","568","571","Coded caching is a new technique to reduce the communication load by utilizing local memories. In this letter, we propose an improved decentralized coded caching delivery algorithm to reduce the search complexity with limited performance loss. Besides, the problem of shrinking the search space is formulated as an optimization problem, and we relax this problem into an efficient computable one. Consequently, the proposed scheme can be applied to various network topologies efficiently.","1089-7798;1558-2558;2373-7891","","10.1109/LCOMM.2019.2900237","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8643756","Coded caching;complexity;search space","Servers;Complexity theory;Search problems;Optimization;Probability density function;Multicast communication;Numerical models","cache storage;computational complexity;computer networks;encoding;optimisation;radio networks;search problems;telecommunication network topology","search complexity;search space;communication load;local memories;optimization problem;decentralized coded caching delivery algorithm;network topologies","","","","5","","","","","IEEE","IEEE Journals & Magazines"
"A Low Complexity Iterative Receiver for Multiuser Space-Time Coding System","N. Du; N. Cao; P. Gu","NA; NA; NA","2010 6th International Conference on Wireless Communications Networking and Mobile Computing (WiCOM)","","2010","","","1","4","In multiuser space-time coding system the research already made is almost focused on STTC and STBC scheme. For this reason, a multiuser space-time coding system combined with Turbo-BLAST scheme is investigated. Iterative processing has been shown to be very effective in multiuser space-time coding systems, where each user employs channel coding and iterations are performed between the soft-output channel decoders. The complexity of an iterative receiver depends heavily on how the log-likelihood ratios (LLRs) are computed for users' coded bits in order to implement the iterations. The bit-level cancellation (BLC) scheme is proposed in this paper to ease the computation of the LLRs and allow bit-level interference cancellation in the iterative processing. It is demonstrated that the proposed iterative receiver performs very close to the conventional one, but with a much less computational complexity. Also the high spectral efficiency of the system from BLAST is retained.","2161-9646;2161-9654","978-1-4244-3708-5978-1-4244-3709","10.1109/WICOM.2010.5600756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5600756","","Receiving antennas;Complexity theory;Multiuser detection;Encoding;Demodulation;Filtering","channel coding;interference suppression;iterative methods;multiuser detection;receivers;space-time codes","low complexity iterative receiver;multiuser space-time coding system;STTC scheme;STBC scheme;Turbo-BLAST scheme;channel coding;soft-output channel decoders;log-likelihood ratios;bit-level interference cancellation","","","","10","","","","","IEEE","IEEE Conferences"
"Dimensionality reduction for the golden code with worst-case decoding complexity of O(m2)","S. Kahraman; M. E. Çelebi","National Research Institute of Electronics and Cryptology (UEKAE), TU¨ B˙ITAK, 41470 Kocaeli, Turkey; Electronics and Communication Eng., Istanbul Technical University, 34469 Istanbul, Turkey","2011 8th International Symposium on Wireless Communication Systems","","2011","","","362","366","In this paper we introduce an efficient decoding method which is based on the dimensionality reduction of the sphere decoder search tree for the golden code. A codeword of the golden code has four independent m-QAM data symbols, hence, the required complexity of the exhaustive-search decoder is m4. An efficient implementation of the maximum-likelihood decoder for the golden code with a worst-case complexity is known to be proportional to m2.5. Our motivation is for an efficient decoder with a worst-case complexity of no more than m2.5. In this purpose, we show that our proposed method has m2complexity in the worst-case with a loss of only 1 dB with respect to optimal decoding.","2154-0225;2154-0217;2154-0217","978-1-61284-402-2978-1-61284-403-9978-1-61284-401","10.1109/ISWCS.2011.6125384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6125384","Golden code;fast decoding;sphere decoding","Complexity theory;Maximum likelihood decoding;Phase shift keying;Delay;Estimation","codecs;decoding;quadrature amplitude modulation","dimensionality reduction;golden code;worst-case decoding complexity;O(m2);decoding method;sphere decoder;m-QAM data symbols;exhaustive-search decoder","","3","","15","","","","","IEEE","IEEE Conferences"
"A low-complexity algorithm for decoding of M-ary LDPC codes","Baomao Pang; Haoshan Shi; Guanghua He","College of Electronic Information, Northwest Polytechnical University, Xi'an 710072, China; College of Electronic Information, Northwest Polytechnical University, Xi'an 710072, China; Telecommunication Institute, Xi'an University of Electronic Science and Technology, 710071, China","2012 IEEE Symposium on Electrical & Electronics Engineering (EEESYM)","","2012","","","345","348","M-ary LDPC codes provide higher performances than their binary counterpart but suffer from highest decoding complexity. The use of stochastic decoding algorithm can reduce the decoding complexity, but the computational complexity of probability generation is very high. A simple method to fast generate the probability especially in high-order modulation schemes is proposed in this paper. Simulation results show the proposed algorithm causes negligible performance degradation with reduction in computational complexity, which gives some advantages in hardware implementation of the decoders.","","978-1-4673-2365-9978-1-4673-2363-5978-1-4673-2364","10.1109/EEESym.2012.6258660","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6258660","LDPC decoding;approximate probability generation;M-QAM;algorithm Complexity","Decoding;Message systems;Parity check codes;Complexity theory","computational complexity;decoding;modulation coding;parity check codes;probability;stochastic processes","low-complexity algorithm;M-ary LDPC codes;decoding complexity;stochastic decoding algorithm;computational complexity;probability generation;high-order modulation schemes","","","","11","","","","","IEEE","IEEE Conferences"
"Low complexity adaptation of H.264/MPEG-4 SVC for multiple description video coding","D. Radakovic; R. Ansari; Y. Yao","Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, USA","2010 IFIP Wireless Days","","2010","","","1","4","The scalable video coding (SVC) extension of the H.264/MPEG-4 AVC standard provides a feature-rich partition of the video that is amenable to multiple description coding (MDC) for transmission over multiple unreliable channels. In this paper we propose a novel low-complexity MDC scheme where we enforce compliance with H.264/MPEG-4 SVC and restrict our processing to the network adaptation layer (NAL) level. In our scheme video is encoded with two spatial and multiple temporal layers. The lower resolution spatial layer is coarsely encoded using a high quantization parameter (QP) value, while the higher resolution spatial layer is encoded with finer QP. The MDC is performed on an already encoded video stream by partitioning the NAL units from the encoded video stream into the two descriptions, where the coarse lower spatial resolution is duplicated in the two descriptions while finely encoded enhancement layer information is symmetrically distributed between the two descriptions. Experimental results show that compared with single description coding (SDC) the performance of proposed scheme results in gains of up to 3 dB.","2156-972X;2156-9711;2156-9711","978-1-4244-9229-9978-1-4244-9230-5978-1-4244-9228","10.1109/WD.2010.5657732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5657732","Scalable video coding (SVC);multiple description coding (MDC)","Streaming media;Static VAr compensators;Bit rate;PSNR;Encoding;MIMO;Transform coding","video coding","low complexity adaptation;H.264/MPEG-4 SVC;multiple description video coding;scalable video coding;high quantization parameter;single description coding","","1","","10","","","","","IEEE","IEEE Conferences"
"Complexity Controlled Side Information Creation for Distributed Scalable Video Coding","Q. H. Van; L. D. T. Hue; V. D. Du; V. N. Hong; X. HoangVan","1Hanoi University of Industry; 2VNU-University of Engineering and Technology; 1Hanoi University of Industry; 3Radio Electronics Association of Vietnam; 2VNU-University of Engineering and Technology","2019 3rd International Conference on Recent Advances in Signal Processing, Telecommunications & Computing (SigTelCom)","","2019","","","104","108","Distributed scalable video coding (DSVC) has recently been gaining many attentions due to its benefits in terms of computational complexity, error resilience and scalability, which are important for emerging video applications like wireless sensor networks and visual surveillance system (VSS). In DSVC, the side information (SI) creation plays a key role as it directly affects the DSVC compression performance and the encoder/decoder computational complexity. However, for many VSS applications, the energy of each VSS node is usually attenuating along the time, making the difficulty in transmitting surveillance video in real time. To address this problem, we propose a complexity controlled SI creation solution for the newly DSVC framework. To achieve the flexible SI creation, the complexity associated with SI creation process is modeled using a linear model in which the model parameters are estimated from a fitting process. To adjust the SI complexity, a user parameter is defined based on the availability of the VSS energy resource. Experiments conducted for a rich set of video surveillance data have revealed the benefits of the proposed complexity control solution, notably in both complexity control and compression performance.","","978-1-5386-7963-0978-1-5386-7962-3978-1-5386-7964","10.1109/SIGTELCOM.2019.8696264","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8696264","Distributed scalable video coding;side information;visual sensor networks","Video coding;Surveillance;Computational modeling;Decoding;Computational complexity;Encoding","computational complexity;decoding;video coding;video surveillance","VSS node;newly DSVC framework;flexible SI creation;SI creation process;SI complexity;VSS energy resource;video surveillance data;complexity control solution;complexity controlled side information creation;distributed scalable video coding;error resilience;video applications;DSVC compression performance;encoder/decoder computational complexity;VSS applications;surveillance video;user parameter;complexity controlled SI creation solution","","","","13","","","","","IEEE","IEEE Conferences"
"Low complexity encoding algorithm of RS-based QC-LDPC codes","M. Zhang; L. Tang; Q. Huang; Z. Wang","School of Electronic and Information Engineering, Beihang University, Beijing, China, 100191; School of Electronic and Information Engineering, Beihang University, Beijing, China, 100191; School of Electronic and Information Engineering, Beihang University, Beijing, China, 100191; School of Electronic and Information Engineering, Beihang University, Beijing, China, 100191","2014 Information Theory and Applications Workshop (ITA)","","2014","","","1","4","This paper presents a novel encoding algorithm for QC-LDPC codes constructed from Reed-Solomon codes. The encoding is performed in the transform domain via Galois Fourier transformation. Message bits are encoded in sections corresponding to sub-matrices of the parity-check matrix in the transform domain. Because of the structure of the parity-check matrices of these LDPC codes, the encoding can be easily implemented with some linear-feedback shift registers, thus efficiently reduces the hardware cost.","","978-1-4799-3589","10.1109/ITA.2014.6804249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6804249","LDPC codes;RS codes;encoding complexity;matrix transformation;Galois Fourier transform","Parity check codes;Encoding;Transforms;Generators;Polynomials;Computational complexity","communication complexity;cyclic codes;Fourier transforms;Galois fields;matrix algebra;parity check codes;Reed-Solomon codes;shift registers","low complexity encoding algorithm;RS-based QC-LDPC codes;Reed-Solomon codes;transform domain;Galois Fourier transformation;message bits encoding;parity check matrix;linear feedback shift registers","","","","15","","","","","IEEE","IEEE Conferences"
"A Low-Complexity Three-Error-Correcting BCH Decoder with Applications in Concatenated Codes","J. Freudenberger; M. Rajab; S. Shavgulidze","NA; NA; NA","SCC 2019; 12th International ITG Conference on Systems, Communications and Coding","","2019","","","1","5","Error correction coding (ECC) for optical communication and persistent storage systems require high rate codes that enable high data throughput and low residual errors. Recently, different concatenated coding schemes were proposed that are based on binary Bose-Chaudhuri-Hocquenghem (BCH) codes that have low error correcting capabilities. Commonly, hardware implementations for BCH decoding are based on the Berlekamp-Massey algorithm (BMA). However, for single, double, and triple error correcting BCH codes, Peterson's algorithm can be more efficient than the BMA. The known hardware architectures of Peterson's algorithm require Galois field inversion. This inversion dominates the hardware complexity and limits the decoding speed. This work proposes an inversion-less version of Peterson's algorithm. Moreover, a decoding architecture is presented that is faster than decoders that employ inversion or the fully parallel BMA at a comparable circuit size.","","978-3-8007-4862","10.30420/454862002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661299","","","","","","","","","","","","","VDE","VDE Conferences"
"A Scene Complexity Adaptive Intra-frame Rate Control for Video Coding","Z. Jiang; Q. Dai; Y. Ai","NA; NA; NA","2010 International Conference on Multimedia Communications","","2010","","","108","111","Rate distortion of Intra-Frame (I-frame) plays a significant role in controlling video quality. Aiming at the deficiency of I-frame rate control of H.264, this paper presents a novel I-frame rate estimation method for H.264 rate control. Firstly, Rate-Complexity-Qstep (RCQ) model of I-frame was gotten by curve fitting, secondly, the information of encoded frames was used to update I-frame weight relative to P-frame, and a reasonable target bits was allocated for I-frame, finally, I-frame Qstep was calculated under the target bits by RCQ model. Experimental results show that the proposed method obtains more accurate I-frame output bit rate and more steady PSNR fluctuation compared with H.264 standard algorithm.","","978-0-7695-4136","10.1109/MEDIACOM.2010.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5694156","video coding;rate control;H.264;scene complexity","Bit rate;Complexity theory;Quantization;Streaming media;PSNR;Video sequences;Adaptation model","curve fitting;rate distortion theory;video coding","scene complexity adaptive intra-frame rate control;video coding;rate distortion;video quality control;frame rate estimation method;H.264 rate control;rate-complexity-qstep model;curve fitting","","","","7","","","","","IEEE","IEEE Conferences"
"A low complexity turbo coded BICM-ID","D. Kang; Y. Lee; W. Oh","Department of Information Communication Engineering, Chungnam National University, Daejeon 305-764, Korea; Department of Information Communication Engineering, Chungnam National University, Daejeon 305-764, Korea; Department of Information Communication Engineering, Chungnam National University, Daejeon 305-764, Korea","2013 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB)","","2013","","","1","3","In this paper, we propose a low complexity turbo coded BICM-ID (Bit-Interleaved Coded Modulation with Iterative Decoding) scheme. To increase the spectral efficiency, capacity approaching turbo codes can be combined with high order modulations and form a turbo coded modulation (CM) or a turbo-BICM (Bit-Interleaved Coded Modulation). On the other hand, it is also well known that the performance of turbo-BICM can be further improved by performing iterative demodulation and decoding between demodulator and turbo decoder which known as turbo-BICM-ID. However, compared to turbo-BICM, the decoding complexity of turbo-BICM-ID is highly increased. To reduce the required complexity of turbo-BICM-ID, we propose a low complexity turbo-BICM-ID scheme which offers virtually identical performance compared to turbo-BICM-ID.","2155-5044;2155-5052","978-1-4673-6047","10.1109/BMSB.2013.6621797","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6621797","Turbo code;Bit interleaving;Coded Modulation;Iterative Decoding","Decoding;Complexity theory;Turbo codes;Demodulation;Iterative decoding;Bit error rate","interleaved codes;iterative decoding;turbo codes","decoding complexity;turbo decoder;iterative demodulation;bit-interleaved coded modulation with iterative decoding scheme;low complexity turbo coded BICM-ID scheme","","1","","6","","","","","IEEE","IEEE Conferences"
"Low-complexity intra coding algorithm in enhancement layer for SHVC","T. Katayama; W. Shi; T. Song; T. Shimamoto","Graduate School of Advanced Technology and Science, Tokushima University, Tokushima City, 770-8506, Japan; Graduate School of Advanced Technology and Science, Tokushima University, Tokushima City, 770-8506, Japan; Computer Systems Engineering, Institute of Technology and Science, Graduate School of Engineering, Tokushima University, Minami-Josanjima 2-1, Tokushima City, 770-8506, Japan; Computer Systems Engineering, Institute of Technology and Science, Graduate School of Engineering, Tokushima University, Minami-Josanjima 2-1, Tokushima City, 770-8506, Japan","2016 IEEE International Conference on Consumer Electronics (ICCE)","","2016","","","419","422","In this paper, we propose an improved low complexity algorithm for the scalable extension of the HEVC (SHVC) using the information of Rate-Distortion cost and the coding unit (CU) size in the base layer. The proposed algorithm is used for inter layer reference prediction (ILRP) which is defined as a new mode in SHVC. Firstly, the relationship between of the different resolutions is evaluated when using ILRP mode. Next, based on the evaluation results, an improved algorithm focused on the complexity reduction of the enhancement layer is proposed. The proposed algorithm is evaluated by the reference software of SHVC. The simulation results show that the proposed algorithm can achieve over 60% computation complexity reduction comparing to the original SHVC algorithm.","2158-4001","978-1-4673-8364-6978-1-4673-8363","10.1109/ICCE.2016.7430673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7430673","HEVC;HEVC scalable extension (SHVC);Inter Layer Reference Prediction;Intra Prediction","Encoding;Complexity theory;Prediction algorithms;Signal processing algorithms;Bit rate;Consumer electronics;Software algorithms","computational complexity;image enhancement;video coding","low-complexity intracoding algorithm;enhancement layer;SHVC reference software;scalable extension;HEVC;rate-distortion cost;coding unit size;interlayer reference prediction;ILRP mode;computation complexity reduction;SHVC algorithm","","4","","7","","","","","IEEE","IEEE Conferences"
"A Low-Complexity SNR Estimation Algorithm Based on Frozen Bits of Polar Codes","Y. Li; R. Liu; R. Wang","School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China","IEEE Communications Letters","","2016","20","12","2354","2357","Polar codes attract a lot of attention due to their provably capacity-achieving property with low encoding and decoding complexity. Frozen bits, the special structure of polar codes, are helpful for signal-to-noise ratio (SNR) estimation. A novel SNR estimation algorithm based on frozen bits is proposed in this letter. In the proposed algorithm, the mapping from SNR to frozen bit error rate is theoretically analyzed when code length is infinite and approximately calculated when code length is finite. Then, SNR can be estimated according to the mapping. Simulation results show that the proposed algorithm has better estimation performance with a relatively lower complexity.","1089-7798;1558-2558;2373-7891","","10.1109/LCOMM.2016.2605106","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7558208","Polar codes;frozen bits;FBER;SNR estimation","Signal to noise ratio;Estimation;Approximation algorithms;Mathematical model;Decoding;Complexity theory;Algorithm design and analysis","channel coding;decoding;error statistics;mobility management (mobile radio)","signal-to-noise ratio estimation;low-complexity SNR estimation algorithm;polar codes;encoding complexity;decoding complexity;frozen bit error rate;code length","","5","","9","","","","","IEEE","IEEE Journals & Magazines"
"An amended rate distortion model for video coding under the complexity constrains","W. Geng; W. Lenan","School of Information Science & Engineering, Southeast University, Nanjing, China; School of Information Science & Engineering, Southeast University, Nanjing, China","2010 2nd IEEE International Conference on Information Management and Engineering","","2010","","","195","199","The classical rate distortion (R-D) theories which study the relationship between the coding bit rate and signal distortion have limit in studying the impact of the coding complexity. However, the advanced video coding technology lead to not only high coding efficiency but also the extremely high coding complexity. The high complexity is not suitable for the real time applications and mobile devices. Therefore, it is necessary to amend the traditional R-D model by incorporating the complexity constraints into the R-D framework. In this paper, a novel rate model and a novel distortion model were proposed respectively by incorporating the complexity factor. The amended R-D model can be obtained by joining the two models to study on the relationship among the coding bit rate, signal distortion and the coding complexity. The experimental results showed the accuracy of the proposed model.","","978-1-4244-5263-7978-1-4244-5265","10.1109/ICIME.2010.5477546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5477546","complexity constraint;rate-distortion (R-D);intra rate;quantization parameter;video coding","Rate-distortion;Video coding;Bit rate;Video compression;Rate distortion theory;Information science;Quantization;Communication systems;Digital TV;Digital video broadcasting","data compression;nonlinear distortion;video coding","amended rate distortion model;video coding;coding complexity constrains;coding bit rate;signal distortion","","","","11","","","","","IEEE","IEEE Conferences"
"Low-complexity intra coding algorithm based on convolutional neural network for HEVC","T. Katayama; K. Kuroda; W. Shi; T. Song; T. Shimamoto","Graduate School of Advanced Technology and Science, Tokushima University, Tokushima City, 770-8506, Japan; Graduate School of Advanced Technology and Science, Tokushima University, Tokushima City, 770-8506, Japan; Graduate School of Advanced Technology and Science, Tokushima University, Tokushima City, 770-8506, Japan; Computer Systems Engineering, Institute of Technology and Science, Graduate School of Engineering, Tokushima University, Tokushima City, 770-8506, Japan; Computer Systems Engineering, Institute of Technology and Science, Graduate School of Engineering, Tokushima University, Tokushima City, 770-8506, Japan","2018 International Conference on Information and Computer Technologies (ICICT)","","2018","","","115","118","In this paper, we propose a fast coding unit (CU) size decision algorithm for high efficiency video coding (HEVC) based on convolutional neural network. The proposed fast algorithm contributes to decrease no less than two CU partition modes in each coding tree unit for full rate-distortion optimization processing, thereby reducing the encoder hardware complexity. Moreover, our algorithm use only texture information and it does not depend on the correlations among CU depths or spatially nearby CUs. It is friendly to the parallel processing and it can improve the pipeline process of RDO. The proposed algorithm is implemented in the reference software of HEVC (HM16.7). The simulation results show that the proposed algorithm can achieve over 67.3% computation complexity reduction comparing to the original HEVC algorithm.","","978-1-5386-5384-5978-1-5386-5382-1978-1-5386-5383-8978-1-5386-5385","10.1109/INFOCT.2018.8356852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8356852","High Efficiency Video Coding (HEVC);intra coding;convolutional newral network (CNN)","Encoding;Kernel;Computational complexity;Prediction algorithms;High efficiency video coding;Software algorithms","computational complexity;neural nets;optimisation;pipeline processing;rate distortion theory;video coding","convolutional neural network;fast coding unit size decision algorithm;high efficiency video coding;CU partition modes;coding tree unit;rate-distortion optimization processing;encoder hardware complexity;parallel processing;fast algorithm;computation complexity reduction;low-complexity intra coding algorithm;texture information;HEVC algorithm;pipeline process","","","","9","","","","","IEEE","IEEE Conferences"
"Soft-decision list decoding of Reed-Muller codes with linear complexity","I. Dumer; G. Kabatiansky; C. Tavernier","University of California at Riverside, USA; Inst. for Info. Transmission Problems, Moscow, Russia; National Knowledge Center (NKC-EAI), Abu-Dhabi, UAE","2011 IEEE International Symposium on Information Theory Proceedings","","2011","","","2303","2307","Let a binary Reed-Muller code RM(s;m) of length n be used on a memoryless channel with an input alphabet ±1 and a real-valued output ℝ. Given a received vector y in ℝn; we define its generalized distance T to any codeword c as the sum Σ|yj|taken over all positions j, in which vectors y, c have opposite signs. We then consider the list ℒTof codewords located within distance T from the received vector y and estimate the size LTof this list using the generalized Johnson bound. For any RM code RM(s,m) of fixed order s, the algorithm is proposed that performs list decoding beyond the error-correcting radius with linear complexity in length n and retrieves the code list ℒTwith complexity of order nsLTfor any decoding radius T within the generalized Johnson bound.","2157-8117;2157-8095;2157-8095","978-1-4577-0595-3978-1-4577-0596-0978-1-4577-0594","10.1109/ISIT.2011.6033973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6033973","","Complexity theory;Decoding;Vectors;Boolean functions;Hamming distance;Error correction codes","binary codes;decoding;Reed-Muller codes","soft decision list decoding;Reed Muller codes;linear complexity;memoryless channel;real valued output;Johnson bound","","1","","10","","","","","IEEE","IEEE Conferences"
"Low-Complexity and Piecewise Systematic Encoding of Non-Full-Rank QC-LDPC Codes","C. Tseng; J. Tarng","NA; NA","IEEE Communications Letters","","2015","19","6","897","900","In this letter, we present a low-complexity encoding method for quasi-cyclic (QC) low-density parity-check (LDPC) codes in the case of non-full-rank parity-check matrices. Gaussian elimination can achieve systematic encoding, but it is usually too complex to implement. For QC-LDPC codes, efficient encoding methods have been presented by using shift-registers, but the encoded codewords are not systematic when parity-check matrices are non-full-rank. However, a systematic structure is important in practice. Therefore, we propose an encoding method which allows all information bits appear piecewise in the codeword, called piecewise systematic encoding.","1089-7798;1558-2558;2373-7891","","10.1109/LCOMM.2015.2411255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7056546","systematic;encoding;quasi-cyclic (QC) lowdensity parity-check (LDPC) codes;Systematic;encoding;quasi-cyclic (QC) low-density parity-check (LDPC) codes","Systematics;Generators;Channel coding;Parity check codes;Arrays;Registers","cyclic codes;matrix algebra;parity check codes;shift registers","nonfull-rank QC-LDPC codes;low-complexity encoding method;piecewise systematic encoding;parity-check matrices;quasicyclic low-density parity-check codes;shift-registers;Gaussian elimination;systematic structure;codeword","","3","","7","","","","","IEEE","IEEE Journals & Magazines"
"Real-time Complexity Control for High Efficiency Video Coding","J. Fang; Y. Tu; L. Yu; P. Chang","Department of Electronic Engineering, Ming Chuan University, Taoyuan City, 333, Taiwan; Department of Communication Engineering, National Central University, Taoyuan City, 320, Taiwan; Department of Communication Engineering, National Central University, Taoyuan City, 320, Taiwan; Department of Communication Engineering, National Central University, Taoyuan City, 320, Taiwan","2018 IEEE International Conference on Information Communication and Signal Processing (ICICSP)","","2018","","","85","89","The current video coding standard, High Efficiency Video Coding (HEVC), provides quad-tree structures of the coding unit (CU) to achieve high coding efficiency. Compared with previous standards, the HEVC encoder increases much computational complexity to levels inappropriate for applications of power-constrained devices. This work thus proposes a real-time complexity control scheme to control each frame complexity if the complexity of encoded frames is counted and its accumulated value is over the threshold. To further improve the coding efficiency, a fast CU depth decision algorithm is proposed. Experimental results show that a two-level of complexity control scheme was designed. In addition, the loss of the average BD-PSNR was about 0.23 dB and 0.27 dB as the target complexity was set to 80% and 60% of the unconstrained complexity, respectively.","","978-1-5386-8003-2978-1-5386-8002-5978-1-5386-8004","10.1109/ICICSP.2018.8549738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8549738","HEVC;coding unit;complexity control","Encoding;Computational complexity;Real-time systems;High efficiency video coding;Urban areas;Standards","computational complexity;video coding","unconstrained complexity;High Efficiency Video Coding;coding unit;high coding efficiency;HEVC encoder;computational complexity;real-time complexity control scheme;frame complexity;target complexity;video coding standard;noise figure 0.23 dB;noise figure 0.27 dB","","","","14","","","","","IEEE","IEEE Conferences"
"Reduced-complexity Deep Neural Network-aided Channel Code Decoder: A Case Study for BCH Decoder","C. Deng; S. L. Bo Yuan","Department of Electrical and Computer Engineering, Rutgers University; Department of Electrical and Computer Engineering, Rutgers University","ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2019","","","1468","1472","Error-correcting codes are very important in modern communication systems. In this paper, we investigate efficient reduced-complexity deep neural network (DNN)-aided channel decoders. Specifically, we leverage DNN training to obtain individual scaling parameters for normalized min-sum algorithms, thereby leading to much faster convergence for the same target bit error rate (BER). Also, we propose to compress the DNN-aided channel decoders via weight sharing. A case study on DNN-aided BCH decoders is investigated. Simulation results and hardware complexity analysis show that our method can reduce 2.59 times of memory cost than non-compressed DNN-aided BCH decoders. Meanwhile, compared to the conventional BCH decoders, our method can improve convergence rate by 6 times with similar decoding performance.","2379-190X;1520-6149","978-1-4799-8131-1978-1-4799-8132","10.1109/ICASSP.2019.8682871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8682871","Neural Network;Weight Sharing;BCH Decoder","Decoding;Approximation algorithms;Random access memory;Neural networks;Complexity theory;Clustering algorithms;Training","","","","","","19","","","","","IEEE","IEEE Conferences"
