"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"46HBM7RF","conferencePaper","2015","Al Rasheed, Omran; Ivaniš, Predrag","Complexity and performance of QC-MDPC code-based McEliece cryptosystems","2015 12th International Conference on Telecommunication in Modern Satellite, Cable and Broadcasting Services (℡SIKS)","","","","","","2015","2019-06-04 16:25:04","2019-06-04 16:25:04","","31–34","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DJ5I297","thesis","2012","Casper, James Burton","A Study of the Relationship Between Intelligence and Improvement in Rate of Reading and Comprehension in a Program Utilizing the Harvard Reading Films","","","","","","","2012","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","","","","","","","","","","","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCH65JFD","journalArticle","2018","Muharlisiani, Lusy Tunik; Kukuh, Anang; Azizah, Siti","DESIGNING COMPUTER-BASED EXERCISES USING WEBLOG, HOT POTATOES SOFTWARE AND SKYPE MESSENGERS IN CREATING IDEAS TO FACILITATE INDEPENDENCE LEARNING OF READING COMPREHENSION","ELTIN JOURNAL, Journal of English Language Teaching in Indonesia","","","","","","2018","2019-06-04 16:25:05","2019-06-04 16:25:05","","11–21","","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7QMX5R9","conferencePaper","2018","Mannan, Umme Ayda; Ahmed, Iftekhar; Sarma, Anita","Towards understanding code readability and its impact on design quality","Proceedings of the 4th ACM SIGSOFT International Workshop on NLP for Software Engineering","","","","","","2018","2019-06-04 16:25:05","2019-06-04 16:25:05","","18–21","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZG7IIHCG","journalArticle","2017","Chen, Hai-Yan","Analysis and Comparison of Software Complexity Model","DEStech Transactions on Engineering and Technology Research","","","","","","2017","2019-06-04 16:25:05","2019-06-04 16:25:05","","","","mcee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTK2BYRL","journalArticle","2014","Boitor, Axenia Bianca; Herţanu, Andreea; Brătucu, Gabriel","SOFTWARE CONSUMER BEHAVIOUR AND ITS COMPLEXITY.","Management & Marketing","","","","","","2014","2019-06-04 16:25:05","2019-06-04 16:25:05","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZAZJQIT","journalArticle","2013","Dibble, Christopher","Refactoring code to increase readability and maintainability","","","","","","","2013","2019-06-04 16:25:05","2019-06-04 16:25:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXQ9RWBG","conferencePaper","2018","Simmonds, Devon M","Complexity and the Engineering of Bug-Free Software","Proceedings of the International Conference on Frontiers in Education: Computer Science and Computer Engineering (FECS)","","","","","","2018","2019-06-04 16:25:05","2019-06-04 16:25:05","","94–100","","","","","","","","","","","The Steering Committee of The World Congress in Computer Science, Computer …","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKPPLXAA","conferencePaper","2012","Cheng, Zheng; Monahan, Rosemary; Power, James F","A Simple Complexity Measurement for Software Verification and Software Testing","Proceedings of the 1st International Workshop on Comparative Empirical Evaluation of Reasoning Systems","","","","","","2012","2019-06-04 16:25:05","2019-06-04 16:25:05","","28–331","","","873","","","","","","","","CEUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LHP3RA6","conferencePaper","2017","Galster, Matthias; Goedicke, Michael; Weyns, Danny; Zdun, Uwe","2nd International Workshop on Variability and Complexity in Software Design (VACE 2017)","2017 IEEE/ACM 2nd International Workshop on Variability and Complexity in Software Design (VACE)","","","","","","2017","2019-06-04 16:25:05","2019-06-04 16:25:05","","1–1","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQVFFEFE","journalArticle","2016","Tajvidi, Gholam Reza; Delouei, Mohammad Reza Rezaeian","The Analyzability of Translational Language as a Third Code: SL/ST and TL Centripetal and‎ Centrifugal Force","Translation Studies Quarterly","","","","","","2016","2019-06-04 16:25:05","2019-06-04 16:25:05","","","","54","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMN9A9WZ","journalArticle","2013","WANG, Ying-lun; SONG, Xue-rui","A Compromise LDPC Code Decoding Algorithm between Performance and Complexity","Computer and Information Technology","","","","","","2013","2019-06-04 16:25:05","2019-06-04 16:25:05","","8","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUUIFKYH","journalArticle","2015","KALANI, S; ASGHARI, NEKAH SM; GHANAEI, CHAMANABAD A","The effectiveness of linguistic play software package on reading accuracy and comprehension of students with reading disorder","","","","","","","2015","2019-06-04 16:25:05","2019-06-04 16:25:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMRW4G7D","journalArticle","2016","Baek, Seungjun; Park, Young B","Improving Legibility and Understandability of Source Code by Using Korean Naming Convention Tool","JOURNAL OF PLATFORM TECHNOLOGY","","","","","","2016","2019-06-04 16:25:05","2019-06-04 16:25:05","","16–21","","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6G5VEFG","journalArticle","2016","Cruz, Dela; Analissa, E","Introducing a Speed Reading and Comprehension Program to the English Teachers of an Elementary School in Baguio City","","","","","","","2016","2019-06-04 16:25:06","2019-06-04 16:25:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"286HAI9X","journalArticle","2018","Rafieyan, Vahid; Rozycki, William","Production and Comprehension Aspects of Pragmatic Competence in an Immersive Language Program","Cross-Cultural Communication","","","","","","2018","2019-06-04 16:25:06","2019-06-04 16:25:06","","83–93","","4","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RB5UUMZQ","conferencePaper","2012","Lahsini, Cyrine; Pyndiah, Ramesh; Zaibi, Sonia; Bouallegue, Ammar","A low complexity pixel Domain Video Coding based on Turbo code and Arithmetic code","2012 International Conference on Wireless Communications in Underground and Confined Areas","","","","","","2012","2019-06-04 16:25:06","2019-06-04 16:25:06","","1–6","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6T5GVCX5","journalArticle","2017","Griffith, Brianna","The Read 180® Program and Reading Comprehension Strategies for Students with Disabilities","","","","","","","2017","2019-06-04 16:25:06","2019-06-04 16:25:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9XSDF7D","journalArticle","2015","Jbara, Ahmad","Regularity of Code: A New Structural Property and its Effect on Code Complexity and Comprehension","","","","","","","2015","2019-06-04 16:25:06","2019-06-04 16:25:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HL6EQUR9","journalArticle","","Tjortjis, Christos","Data Mining Code Clustering (DMCC): An Approach Supporting Software Maintenance and Comprehension","","","","","","","","2019-06-04 16:25:06","2019-06-04 16:25:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZSZTYGB","journalArticle","2015","Dela Cruz, Analissa","Introducing Speed Reading and Comprehension Program to the English Teachers of St. Martin School, Inc. Baguio City","","","","","","","2015","2019-06-04 16:25:06","2019-06-04 16:25:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EH24VI48","journalArticle","2010","Min-Jiao, ZHU","The research and comprehension of comprehensive application of computer software In Building rendering","Science & Technology Information","","","","","","2010","2019-06-04 16:25:06","2019-06-04 16:25:06","","8","","34","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYSFLRUW","journalArticle","2017","Silverman, Rebecca; Kim, Young-Suk; Hartranft, Anna; Nunn, Stephanie; McNeish, Daniel","Effects of a multimedia enhanced reading buddies program on kindergarten and Grade 4 vocabulary and comprehension","The Journal of Educational Research","","","","","","2017","2019-06-04 16:25:06","2019-06-04 16:25:06","","391–404","","4","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3TP74Q4","journalArticle","","Valipour, Fatemeh; Valipour, Saeideh","Cost Estimation for Web Software Applications Use case Point, Language, Size and Complexity Factors","","","","","","","","2019-06-04 16:25:06","2019-06-04 16:25:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PR7LICA","journalArticle","2018","Ribeiro, Talita Vieira; Travassos, Guilherme Horta","Attributes Influencing the Reading and Comprehension of Source Code–Discussing Contradictory Evidence","CLEI ELECTRONIC JOURNAL","","","","","","2018","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","1","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEPBNL93","journalArticle","","Alawad, Duaa; Panta, Manisha; Zibran, Minhaz; Islam, Md Rakibul","An Empirical Study of the Relationships between Code Readability and Software Complexity","","","","","","","","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXP9MZC9","journalArticle","2018","Khan, Mohd; Ahmad, Faiyaz; Khanum, Mohammadi Akheela; others","LITERATURE REVIEW ON SOFTWARE COMPLEXITY, SOFTWARE USABILITY AND SOFTWARE DELIVERABILITY.","International Journal of Advanced Research in Computer Science","","","","","","2018","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZJ5ZRP8","journalArticle","2018","Zarudniev, Maksym Andriiovych; Huzhva, Viktor Oleksiiovych","Cost and complexity research of software development to solve the problem of inventory management","","","","","","","2018","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXGIJP65","thesis","2018","Bruneliere, Hugo","Generic Model-based Approaches for Software Reverse Engineering and Comprehension","","","","","","","2018","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","","","","","","","","","","","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DM79LTMD","book","2013","Abbondanza, Mark A","Assessing the Effectiveness of Peer-Assisted Learning Strategies (PALS) Reading Program on Sixth-Grade Students Comprehension, Fluency, and Attitude toward Reading, with Nonfiction Texts.","","","","","","","2013","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","","","","","","","","","","ERIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ULKCPV5Y","report","2012","Blickstein, Irv; Drezner, Jeffrey A; Libicki, Martin C; McInnis, Brian; McKernan, Megan; Nemfakos, Charles; Sollinger, Jerry M; Wong, Carolyn","Root Cause Analyses of Nunn-McCurdy Breaches. Volume 2: Excalibur Artillery Projectile and the Navy Enterprise Resource Planning Program, with an Approach to Analyzing Program Complexity and Risk","","","","","","","2012","2019-06-04 16:25:07","2019-06-04 16:25:07","","","","","","","","","","","","","RAND NATIONAL DEFENSE RESEARCH INST SANTA MONICA CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNDNMK3A","journalArticle","2017","Lakhtikova, Anastasia","Code-Switching in Anzaldúa's Borderlands/La Frontera and Walcott’s Omeros: A Literary Device for “New Readability”","Poroi","","","","","","2017","2019-06-04 16:25:07","2019-06-04 16:25:07","","5","","1","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
