BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","CHATTERJI2016128","Chatterji, Madhabi","Causal inferences on the effectiveness of complex social programs: Navigating assumptions, sources of complexity and evaluation design challenges","Evaluation and Program Planning",59,,"","128 - 140",2016,"","","http://www.sciencedirect.com/science/article/pii/S0149718916301094","","","","","","","","","","","","","This paper explores avenues for navigating evaluation design challenges posed by complex social programs (CSPs) and their environments when conducting studies that call for generalizable, causal inferences on the intervention’s effectiveness. A definition is provided of a CSP drawing on examples from different fields, and an evaluation case is analyzed in depth to derive seven (7) major sources of complexity that typify CSPs, threatening assumptions of textbook-recommended experimental designs for performing impact evaluations. Theoretically-supported, alternative methodological strategies are discussed to navigate assumptions and counter the design challenges posed by the complex configurations and ecology of CSPs. Specific recommendations include: sequential refinement of the evaluation design through systems thinking, systems-informed logic modeling; and use of extended term, mixed methods (ETMM) approaches with exploratory and confirmatory phases of the evaluation. In the proposed approach, logic models are refined through direct induction and interactions with stakeholders. To better guide assumption evaluation, question-framing, and selection of appropriate methodological strategies, a multiphase evaluation design is recommended.","","Impact evaluations, Experimental designs, Mixed methods, Causal inferences, Complex social programs","",""
7,"","CAPELLINI20151339","Capellini, Simone Aparecida; de Almeida Rodrigues Pinto, Cataryne; Cunha, Vera Lúcia Orlandi","Reading Comprehension Intervention Program for Teachers from 3rd Grade’ Students","Procedia - Social and Behavioral Sciences",174,,"","1339 - 1345",2015,"","International Conference on New Horizons in Education, INTE 2014, 25-27 June 2014, Paris, France","http://www.sciencedirect.com/science/article/pii/S1877042815008083","","","","","","","","","","","","","This study aimed to verify the effectiveness of Reading comprehension intervention program for teachers from 3rd grade'students. 4 teachers of 3rd grade from public school were divided: GI - two teachers submitted to intervention program and GII - two teachers not submitted to intervention program. Reading Comprehension Assessment Protocol was applied in all students of these teachers in pre and post-intervention. The results revealed a difference between the performance of the situations of pre and post-testing for GI. The intervention program was effectiveness for teachers to teach narrative and expository texts comprehension for students.","","Learning. Reading, Intervention, Reading Comprehension.","",""
7,"","GUZZARDOTAMARGO2016138","Tamargo, Rosa E. Guzzardo; Kroff, Jorge R. Valdés; Dussias, Paola E.","Examining the relationship between comprehension and production processes in code-switched language","Journal of Memory and Language",89,,"","138 - 161",2016,"","Speaking and Listening: Relationships Between Language Production and Comprehension","http://www.sciencedirect.com/science/article/pii/S0749596X15001461","","","","","","","","","","","","","We employ code-switching (the alternation of two languages in bilingual communication) to test the hypothesis, derived from experience-based models of processing (e.g., Boland, Tanenhaus, Carlson, & Garnsey, 1989; Gennari & MacDonald, 2009), that bilinguals are sensitive to the combinatorial distributional patterns derived from production and that they use this information to guide processing during the comprehension of code-switched sentences. An analysis of spontaneous bilingual speech confirmed the existence of production asymmetries involving two auxiliary+participle phrases in Spanish–English code-switches. A subsequent eye-tracking study with two groups of bilingual code-switchers examined the consequences of the differences in distributional patterns found in the corpus study for comprehension. Participants’ comprehension costs mirrored the production patterns found in the corpus study. Findings are discussed in terms of the constraints that may be responsible for the distributional patterns in code-switching production and are situated within recent proposals of the links between production and comprehension.","","Bilingualism, Code-switching, Experience-based processing, Eye-tracking, Spanish–English","",""
7,"","FARINA2018147","Farina, Almo","Ecoacoustic codes and ecological complexity","Biosystems",164,,"","147 - 154",2018,"","Code Biology","http://www.sciencedirect.com/science/article/pii/S0303264717302228","","","","","","","","","","","","","Multi-layer communication and sensing network assures the exchange of relevant information between animals and their umwelten, imparting complexity to the ecological systems. Individual soniferous species, the acoustic community, and soundscape are the three main operational levels that comprise this multi-layer network. Acoustic adaptation and acoustic niche are two more important mechanisms that regulate the acoustic performances at the first level while the acoustic community model explains the complexity of the interspecific acoustic network at the second level. Acoustic habitat and ecoacoustic events are two of the most relevant mechanisms that operate at the third level. The exchange of ecoacoustic information on each of these levels is assured by ecoacoustic codes. At the level of individual sonifeorus species, a dyadic intraspecific exchange of information is established between an emitter and a receiver. Ecoacoustic codes discriminate, identify, and label specific signals that pertain to the theme, variation, motif repetition, and intensity of signals. At the acoustic community level, a voluntarily or involuntarily communication is established between networks of interspecific emitters and receivers. Ecoacoustic codes at this level transmit information (e.g., recognition of predators, location of food sources, availability and location of refuges) between one species and the acoustically interacting community and impart cohesion to interspecific assemblages. At the soundscape level, acoustic information is transferred from a mosaic of geophonies, biophonies, and technophonies to different species that discriminate meaningful ecoacoustic events and their temporal dynamics during habitat selection processes. Ecoacoustic codes at this level operate on a limited set of signals from the environmental acoustic dynamic that are heterogeneous in time and space, and these codes are interpreted differently according to the species during habitat selection and the completion of phenological cycles. The process of ecoacoustic coding can be interpreted according to the eco-field theory, which describes the procedures utilized by a receiver to intercept and optimize acoustic information. The acoustic codes may be detected and identified using mathematical models that simulate their performances. The Acoustic Complexity Indices are an appropriate tool to investigate the acoustic codes in action on all three levels. Ecoacoustic codes are powerful agencies used by sound-adapted species to cope with environmental novelties, and their efficiency may represent an important divide between whether a species perpetuates or becomes extinct.","","Ecological complexity, Soundscape, Ecoacoustic codes, Eco-fields, Acoustic complexity index","",""
7,"","RANDO2012148","Rando, Oliver J.","Combinatorial complexity in chromatin structure and function: revisiting the histone code","Current Opinion in Genetics & Development",22,2,"","148 - 155",2012,"","Genome architecture and expression","http://www.sciencedirect.com/science/article/pii/S0959437X1200024X","","","","","","","","","","","","","Covalent modifications of histone proteins play key roles in transcription, DNA repair, recombination, and other such processes. Over a hundred histone modifications have been described, and a popular idea in the field is that the function of a single histone mark cannot be understood without understanding its combinatorial co-occurrence with other marks, an idea generally called the ‘histone code hypothesis.’ This idea is hotly debated, with increasing biochemical evidence for chromatin regulatory factors that bind to specific histone modification combinations, but functional and localization studies finding minimal combinatorial complexity in histone modification patterns. This review will focus on these contrasting results, and will briefly touch on possible ways to reconcile these conflicting views.","","","",""
7,"","LEWIS2015155","Lewis, Ashley G.; Bastiaansen, Marcel","A predictive coding framework for rapid neural dynamics during sentence-level language comprehension","Cortex",68,,"","155 - 168",2015,"","Special issue: Prediction in speech and language processing","http://www.sciencedirect.com/science/article/pii/S0010945215000714","","","","","","","","","","","","","There is a growing literature investigating the relationship between oscillatory neural dynamics measured using electroencephalography (EEG) and/or magnetoencephalography (MEG), and sentence-level language comprehension. Recent proposals have suggested a strong link between predictive coding accounts of the hierarchical flow of information in the brain, and oscillatory neural dynamics in the beta and gamma frequency ranges. We propose that findings relating beta and gamma oscillations to sentence-level language comprehension might be unified under such a predictive coding account. Our suggestion is that oscillatory activity in the beta frequency range may reflect both the active maintenance of the current network configuration responsible for representing the sentence-level meaning under construction, and the top-down propagation of predictions to hierarchically lower processing levels based on that representation. In addition, we suggest that oscillatory activity in the low and middle gamma range reflect the matching of top-down predictions with bottom-up linguistic input, while evoked high gamma might reflect the propagation of bottom-up prediction errors to higher levels of the processing hierarchy. We also discuss some of the implications of this predictive coding framework, and we outline ideas for how these might be tested experimentally.","","Language comprehension, Neural oscillations, Beta, Gamma, Predictive coding","",""
7,"","HANNEMANNTAMAS20131575","Hannemann-Tamás, Ralf; Gábor, Attila; Szederkényi, Gábor; Hangos, Katalin M.","Model complexity reduction of chemical reaction networks using mixed-integer quadratic programming","Computers & Mathematics with Applications",65,10,"","1575 - 1595",2013,"","Grasping Complexity","http://www.sciencedirect.com/science/article/pii/S0898122112006852","","","","","","","","","","","","","The model complexity reduction problem of large chemical reaction networks under isobaric and isothermal conditions is considered. With a given detailed kinetic mechanism and measured data of the key species over a finite time horizon, the complexity reduction is formulated in the form of a mixed-integer quadratic optimization problem where the objective function is derived from the parametric sensitivity matrix. The proposed method sequentially eliminates reactions from the mechanism and simultaneously tunes the remaining parameters until the pre-specified tolerance limit in the species concentration space is reached. The computational efficiency and numerical stability of the optimization are improved by a pre-reduction step followed by suitable scaling and initial conditioning of the Hessian involved. The proposed complexity reduction method is illustrated using three well-known case studies taken from reaction kinetics literature.","","Chemical reaction networks, Model reduction, Mixed-integer quadratic programming, Sensitivity analysis","",""
7,"","KAHLER20161595","Kahler, Christopher W.; Caswell, Amy J.; Laws, M. Barton; Walthers, Justin; Magill, Molly; Mastroleo, Nadine R.; Howe, Chanelle J.; Souza, Timothy; Wilson, Ira; Bryant, Kendall; Monti, Peter M.","Using topic coding to understand the nature of change language in a motivational intervention to reduce alcohol and sex risk behaviors in emergency department patients","Patient Education and Counseling",99,10,"","1595 - 1602",2016,"","","http://www.sciencedirect.com/science/article/pii/S0738399116301902","","","","","","","","","","","","","Objective
 To elucidate patient language that supports changing a health behavior (change talk) or sustaining the behavior (sustain talk).
 Methods
 We developed a novel coding system to characterize topics of patient speech in a motivational intervention targeting alcohol and HIV/sexual risk in 90 Emergency Department patients. We further coded patient language as change or sustain talk.
 Results
 For both alcohol and sex, discussions focusing on benefits of behavior change or change planning were most likely to involve change talk, and these topics comprised a large portion of all change talk. Greater discussion of barriers and facilitators of change also was associated with more change talk. For alcohol use, benefits of drinking behavior was the most common topic of sustain talk. For sex risk, benefits of sexual behavior were rarely discussed, and sustain talk centered more on patterns and contexts, negations of drawbacks, and drawbacks of sexual risk behavior change.
 Conclusions
 Topic coding provided unique insights into the content of patient change and sustain talk.
 Practice implications
 Patients are most likely to voice change talk when conversation focuses on behavior change rather than ongoing behavior. Interventions addressing multiple health behaviors should address the unique motivations for maintaining specific risky behaviors.","","Alcohol, Sex risk, HIV, Motivational interviewing, Dialogue coding","",""
7,"","SINGH2018160","Singh, Ravinder; O’Farrell, Timothy; Biagi, Mauro; David, John P. R.","Coded color shift keying with frequency domain equalization for low complexity energy efficient indoor visible light communications","Physical Communication",31,,"","160 - 168",2018,"","","http://www.sciencedirect.com/science/article/pii/S1874490717306067","","","","","","","","","","","","","The adaptive tri-chromatic color shift keying (CSK) modulation standardized in IEEE 802.15.7 and the advanced quad-chromatic CSK are unable to utilize their entire spectral efficiency range over dispersive indoor VLC channels and incur large power penalties without the use of channel equalization and forward error correction. This degrades the energy efficiency and limits the throughput capability of CSK schemes to approximately half of the data-rates specified in the IEEE standard for multimedia services in wireless personal area networks. To comply with the desire for low latency and minimal implementation complexity in the CSK standardization framework, we consider an industry standard binary convolutional code and frequency domain equalization (FDE) which provide one-shot data packet processing. Our results show that when operating over hybrid indoor visible light communication (VLC) links, the FDE based rate-adaptive coded modulation CSK scheme achieves a significant 11 dB SNR gain over an uncoded, unequalized system.","","Visible light communications, Color shift keying, IEEE 802.15.7, Channel coding, Frequency domain equalization, Indoor VLC channels","",""
7,"","ELGEZAWI2017161","Elgezawi, Moataz; Hassan, Khalid; Alagl, Adel; Al-Thobity, Ahmad M.; Al-Mutairi, Basel; Al-Houtan, Thamir; Sadaf, Shazia","Complexity of comprehensive care treatments in undergraduate dental programs: The benefits of observing and assisting experienced faculty members","The Saudi Dental Journal",29,4,"","161 - 166",2017,"","","http://www.sciencedirect.com/science/article/pii/S101390521730055X","","","","","","","","","","","","","Objective
 To improve the confidence of the final year dental students in completing occlusal and oral rehabilitation of patients, with complexities beyond their scope, based on full analysis of the biomechanical and esthetic considerations of each case.
 Material & methods
 Two comprehensive patient situations presenting with special difficulties including extensive, reduced vertical dimension of occlusion, limited interocclusal space and maxillary alveolar bone for implant insertion necessitating bone augmentation and a sinus lift surgery was managed by two students at our institute. Procedures like surgical crown lengthening, sinus lifting, and bone augmentation were performed by senior faculty with the respective two students’ assisting as well as following up at the healing phase and reporting progress of healing and any possible complications to the supervisor. Students’ reported significant improvement in decision making skills; time management; interpersonal skills, management of cases in an evidence –based interdisciplinary approach as well as increase in their confidence in managing complex cases independently. Follow up with both cases showed optimum outcome and patients’ satisfaction.
 Results
 Students’ reported significant improvement in decision making skills; time management; interpersonal skills, management of cases in an evidence –based interdisciplinary approach as well as increase in their confidence in managing complex cases independently. Follow up with both cases showed optimum outcome and patients’ satisfaction.
 Conclusions
 Exposing students to manage complex oral rehabilitation including procedures like sinus lifting and bone augmentation, through an evidence-based interdisciplinary approach during the undergraduate comprehensive clinical dentistry course enhances their confidence and clinical acumen as an independent practitioner.","","Comprehensive dentistry, Case report, Occlusal and oral rehabilitation, Interdisciplinary management, Undergraduate student","",""
7,"","ELANGO2016161","Elango, G. Arul; Sudha, G. F.","Design of complete software GPS signal simulator with low complexity and precise multipath channel model","Journal of Electrical Systems and Information Technology",3,2,"","161 - 180",2016,"","","http://www.sciencedirect.com/science/article/pii/S2314717216300320","","","","","","","","","","","","","The need for GPS data simulators have become important due to the tremendous growth in the design of versatile GPS receivers. Commercial hardware and software based GPS simulators are expensive and time consuming. In this work, a low cost simple novel GPS L1 signal simulator is designed for testing and evaluating the performance of software GPS receiver in a laboratory environment. A typical real time paradigm, similar to actual satellite derived GPS signal is created on a computer generated scenario. In this paper, a GPS software simulator is proposed that may offer a lot of analysis and testing flexibility to the researchers and developers as it is totally software based primarily running on a laptop/personal computer without the requirement of any hardware. The proposed GPS simulator allows provision for re-configurability and test repeatability and is developed in VC++ platform to minimize the simulation time. It also incorporates Rayleigh multipath channel fading model under non-line of sight (NLOS) conditions. In this work, to efficiently design the simulator, several Rayleigh fading models viz. Inverse Discrete Fourier Transform (IDFT), Filtering White Gaussian Noise (FWFN) and modified Sum of Sinusoidal (SOS) simulators are tested and compared in terms of accuracy of its first and second order statistical metrics, execution time and the later one is found to be as the best appropriate Rayleigh multipath model suitable for incorporating with GPS simulator. The fading model written in ‘MATLAB’ engine has been linked with software GPS simulator module enable to test GPS receiver’s functionality in different fading environments.","","GPS signal simulator, Rayleigh fading, Non line of sight (NLOS), Sum of sinusoids (SOS)","",""
7,"","COTRONEO2013163","Cotroneo, Domenico; Natella, Roberto; Pietrantuono, Roberto","Predicting aging-related bugs using software complexity metrics","Performance Evaluation",70,3,"","163 - 178",2013,"","Special Issue on Software Aging and Rejuvenation","http://www.sciencedirect.com/science/article/pii/S0166531612000946","","","","","","","","","","","","","Long-running software systems tend to show degraded performance and an increased failure occurrence rate. This problem, known as Software Aging, which is typically related to the runtime accumulation of error conditions, is caused by the activation of the so-called Aging-Related Bugs (ARBs). This paper aims to predict the location of Aging-Related Bugs in complex software systems, so as to aid their identification during testing. First, we carried out a bug data analysis on three large software projects in order to collect data about ARBs. Then, a set of software complexity metrics were selected and extracted from the three projects. Finally, by using such metrics as predictor variables and machine learning algorithms, we built fault prediction models that can be used to predict which source code files are more prone to Aging-Related Bugs.","","Software aging, Fault prediction, Software complexity metrics, Aging-related bugs","",""
7,"","LIU2015165","Liu, Xiying; Zhao, Shancheng; Ma, Xiao","A low complexity detection/decoding algorithm for NB-LDPC coded PRCPM system","Physical Communication",17,,"","165 - 171",2015,"","","http://www.sciencedirect.com/science/article/pii/S1874490715000464","","","","","","","","","","","","","This paper studies the combination of non-binary low-density parity-check (NB-LDPC) codes and M-ary partial response continuous phase modulation (PRCPM). A low-complexity joint detection/decoding algorithm is proposed, which is referred to as the Max-Log-MAP/X-EMS algorithm. In this joint algorithm, the CPM detector is implemented by the Max-Log-MAP algorithm while the LDPC decoder is implemented by the extended min-sum (EMS) algorithms. Three kinds of EMS algorithms, including D-EMS, T-EMS, and M-EMS algorithms, are compared, which are referred to as X-EMS algorithm for convenience. Simulation results show that the Max-Log-MAP/X-EMS algorithm performs as well as the traditional iterative detection/decoding algorithm based on the BCJR algorithm and the q-ary sum–product algorithm, but with lower complexity. In addition, comparison of the proposed NB-LDPC coded PRCPM system with the eBCH coded PRCPM system is given, which shows the performance advantages of our system.","","BCJR algorithm, Iterative decoding, NB-LDPC codes, PRCPM, -EMS algorithms","",""
